Destinasi,Gambar,Detail,Jam Operasional,Biaya Masuk,Penginapan,Preferensi 1,Preferensi 2
Wisata Hutan Pinus Malino,,"Hutan Pinus Malino termasuk salah satu destinasi favorit lantaran keasrian alamnya masih sangat terjaga. Udara di sini juga lumayan sejuk, bahkan bisa dikatakan merupakan terdingin kedua setelah Toraja di Sulawesi Selatan.  Tak jarang orang-orang memanfaatkan destinasi ini sebagai lokasi perkemahan atau melaksanakan kegiatan kampus, organisasi, komunitas, dan lainnya.",Setiap hari (24 jam),Rp 5.000 - Rp 10.000,,,pegunungan dan pedesaan
Taman Nasional Bunaken,,"Taman Nasional Bunaken adalah taman laut yang terletak di Sulawesi Utara, Indonesia. Taman ini terletak di Segitiga Terumbu Karang yang menjadi habitat bagi 390 spesies terumbu karang dan juga berbagai spesies ikan, moluska, reptil, dan mamalia laut. Taman Nasional Bunaken merupakan perwakilan ekosistem laut Indonesia, meliputi padang rumput laut, terumbu karang, dan ekosistem pantai",Setiap hari (24 jam),Rp 5.000 - Rp 150.000,,,wisata air
Pulau Siladen,,"Pulau Siladen merupakan wisata bahari yang berpasir putih di Manado. Tak hanya itu saja, di sepanjang bibir pantai dari pulau satu ini pun juga dikelilingi oleh beragam pepohonan yang akan menambah nuansa sejuk. Keindahan dari pulau ini pun didukung dengan laut yang memiliki air yang jernih.",Setiap hari (24 jam),Gratis,,,wisata air
Pantai Malalayang,,"Pantai Malalayang merupakan salah satu wisata bahari favorit di Kota Manado yang menyuguhkan pemandangan yang menawan, mulai dari pesisir pantai, pesona bawah laut dan panorama sunset. Daya tarik dari pantai ini adalah biota laut, pemandangan indah laut, hampran bebatuan kecil yang nampak indah, dan suasana yang tenang.",Setiap hari ( 24 jam ),Rp5.000,,,wisata air
Gardenia Country Inn,,"Gardenia Country Inn adalah taman luas yang berisikan aneka jenis bunga yang menghiasinya. Banyaknya taman membuat lokasi ini sangat cocok untuk aktifitas fotografi. Pemandangan tempat ini sangat kontras dengan pemandangan gunung yang ada di sekitarnya. Keindahannya yang sangat memukau. Tak hanya itu, pemandangan paling mengagumkan adalah adanya Gunung Lokon yang berdiri anggun di sebelah selatan Kota Tomohon. Gunung ini dapat dilihat dengan jelas, meskipun cuaca saat kami berkunjung agak mendung. Gardenia Country Inn juga adalah resort yang menawarkan tempat untuk melarikan diri dari kesibukan di kota.",Setiap hari (24 jam),Rp1.250.000,,,pegunungan dan pedesaan
Rumah Alam Manado,,"Rumah Alam Manado adalah lokasi wisata alam terbuka yang berdiri di area seluas 10 hektar dengan kontur area perbukitan, berada di Desa Maumbi. Wisata ini menghadirkan konsep alam terbuka dan juga dikelilingi oleh perbukitan yang hijau serta rimbun. Untuk itu, tempat wisata ini pun mengusun konsep back to nature dimana pastinya memiliki udara yang segar sehingga tempat ini akan sangat cocok menjadi salah satu destinasi wisata bagi keluarga ataupun bagi anda yang sedang ingin melepas penat. Selain itu, ketika berada disini nantinya anda pun akan dapat menikmati berbagai wahana wisata yang akan mengisi liburan.",Setiap hari (10.00 - 18.00),Rp15.000,,,museum
CitraLand WaterPark Manado,,"Citraland Waterpark Manado merupakan destinasi wisata ramah anak yang berada di Malalayang. Wisata taman air pertama di Manado ini berada pada lokasi yang strategis. Kawasannya terlihat asri dengan nuansa yang hijau, bersih, dan nyaman bagi wisatawan.  Selain menjadi sarana liburan akhir pekan, taman rekreasi air ini acap kali meramaikan momen libur nasional. Seperti kemeriahan sajian pertunjukan barongsai hingga parade cosplay di area wahana air.",Setiap hari ( 10.00 - 19.00 ),Rp 20.000 - Rp 35.000,,,wisata air
GPI Waterpark,,"GPI Waterpark Manado atau atau Griya Paniki Indah Waterpark merupakan waterpark kedua di Manado setelah CL Waterpark. Meskipun berdiri setelah CL Waterpark, tetapi taman wisata air ini lebih besar dan wahana yang tersedia lebih banyak CL Waterpark. Tempat rekreasi ini tepat sekali untuk wisata keluarga karena tersedia wahana anak-anak hingga dewasa. Banyak pula fasilitas lain yang bisa dimanfaatkan oleh orang tua ketika menemani anak-anaknya berenang.",Setiap hari ( 09.00 - 17.00 ),Rp 35.000 - Rp 40.000,,,wisata air
God Bless Park,,"God Bless Park merupakan salah satu ruang publik yang memiliki beberapa spot favorit anak muda. Tak hanya pagi, sore hingga malam banyak anak muda yang datang ke God Bless Park.",Setiap hari (07.15 - 18.00),Rp5.000,,,wisata kota
Taman Hutan Raya Gunung Tumpa,,"Taman Hutan Raya (Tahura) Gunung Tumpa Hein Victor Worang (HV Worang) merupakan kawasan konservasi hutan lindung yang berada di Kelurahan Tongkaina, Kecamatan Bunaken, Kota Manado, Sulawesi Utara. Masuk ke Tahura kita akan melewati spot-spot menarik. Selain hutan raya, pengunjung dapat menyaksikan hamparan luas laut Sulawesi serta pulau-pulau yang sudah sangat terkenal sampai di mancanegara.",Setiap hari (08.00 - 15.00),Rp15.000,,,wisata kota
Monumen HV. Worang,,"Monumen HV. Worang merupakan monumen / tugu yang ditujukan sebagai peringatan pendaratan Batalyon Worang. Lokasi dari monumen ini ada di pusat perbelanjaan Kota Manado, tepatnya di Jalan Suprapto, Wenang Utara (Kawasan Pusat Kota) Manado tak jauh dari Taman Kesatuan Bangsa (TKB). Disebut Batalyon Worang karena dipimpin Mayor Hein Victor Worang. Tugu tersebut sangat khas dengan patung 7 tentara berwarna hijau lumut, menggambarkan Batalyon Worang (Pimpinan Mayor Hein Victor Worang) yang terdiri dari 7 kompi, yaitu Kompi Yuus Somba, Utu Lalu, Wim Tenges, Wuisan, Andi Odang, John Ottay, dan Kompi Wim Yoseph (Kompi Markas).",Setiap hari (24 jam),Gratis,,,situs bersejarah dan religi
New Bendar 45,,"New Bendar 45 merupakan taman kuliner juga pasar di Provinsi Sulawesi Utara. Pasar Kota Manado mempercantik Pasar 45 yang dulunya, dalam 10 tahun terakhir terkesan kumuh dan sarang kriminal. Ratusan pedagang mulai antusias menjual barang baju prelove import, sepatu, tas, aksesoris, pernak pernik Natal, kue Natal, gorden, kain, sembako murah, dan lain-lain. Taman kuliner, resto and cafe, ditata apik menggunakan protokol kesehatan. Tak ketinggalan, panggung hiburan tersedia menghibur para pengunjung dan pembeli.",Setiap hari (07.00 - 17.00),Gratis,,,wisata kota
Pulau Lihaga,,"Pulau Lihaga merupakan pulau yang tak berpenghuni yang masih asri. Pulau Lihaga memiliki luas sekitar 8 hektare. Keasriannya masih terjaga. Hijaunya pepohonan, kejernihan perairannya yang berwarna hijau toska. Serta pasir putih nan lembut macam tepung yang membentang di garis pantai, menjadikan pulau ini sungguh cantik nan eksotis.",Setiap hari (24 jam),Rp50.000,,,wisata air
Pantai Tatiala,,"Pantai Tatiala dikenal sebagai Pantai Batu Hitam. Pantai ini belum begitu populer. Disajikan dengan keasrian lingkungannya, serta ketenangannya membuat pantai ini dapat digunakan pengunjung untuk berkemah, berburu foto, atau sekedar menikmati suasana pantai. ",Setiap hari (08.00 -17.00),Rp 5.000 - Rp 12.000,,,wisata air
UPTD Museum Negeri Propinsi Sulawesi Utara,,"Museum Negeri Sulawesi Utara adalah museum yang terletak di sulawesi utara tepatnya di kota manado. museum ini menyimpan berbagai warisan budaya leluhur dan budaya kearifan lokal leluhur dari pra sejarah hingga zaman modern hingga saat ini. Museum ini terletak di Jalan W.R. Supratman No. 72, Kota Manado. Bangunan museum ini menyerupai rumah adat Minahasa. Museum ini memamerkan representasi kebudayaan dan sejarah masyarakat lokal Sulawesi Utara, sejarah pra dan pascakolonial, percampuran budaya dengan masyarakat Cina dan Belanda yang menetap di Sulawesi Utara.",Senin - Jum'at ( 08.00 - 16.00),Rp3.000,,,museum
Jembatan Soekarno,,"Jembatan Soekarno merupakan salah satu ikon di Kota Manado. Jembatan ini tergolong sebagai jembatan gantung. Pembangunan Jembatan Soekarno sempat terhenti selama 12 tahun dan baru diresmikan tahun 2015. Peresmian jembatan gantung ini mendapatkan sambutan hangat dari para warga Manado. Selain melancarkan akses menuju satu tempat ke tempat lain saja, namun masyarakat dapat menikmati pemandangan yang dapat memanjakan mata dari atas ketinggian. Sebab dari jembatan tersebut, tampak sebuah gunung yang menjadi latar belakang teluk tampak cantik dan menawan.",Setiap hari (24 jam),Gratis,,,wisata kota
Tugu Boboca,,Tugu Boboca merupakan tugu yang sendiri terletak tepat di perbatasan Kota Manado dan Kabupaten Minahasa. Tugu ini dinamakan sesuai bentuk tugu yang menyerupai Boboca. ugu Boboca adalah gerbang Kota dan sekaligus batas Kota Manado.,Setiap hari (24 jam),Gratis,,,wisata kota
Monumen Lilin,,Tugu Lilin adalah sebuah tugu yang berada di Kota Surakarta. Tugu ini dibangun dengantujuan yaitu untuk memperingati 25 tahun lahirnya hari kebangkitan nasional. Monumen ini dikenal sebagai Tugu Lilin karena memiliki bentuk yang mirip seperti lilin dengan api yang menyala di bagian puncaknya. Hal ini disebutkan sebagai sebuah simbol penerang dari sebuah harapan. Yakni harapan para pejuang dizaman dahulu yang berjuang mati-matian demi mencapai hari kemerdekaan Indonesia.,Setiap hari (24 jam),Gratis,,,wisata kota
Kampung Cina,,"Kawasan pecinan atau kampung China menjadi destinasi wisata kota di Manado, Sulawesi Utara. Menelusuri kawasan yang berada di jalan DI Panjaitan, Calaca, Kecamatan Wenang, Kota Manado, ini seperti membawa kembali ke masa lalu. Sederet bangunan tua yang umumnya ditempati etnis Tionghoa ini masih berdiri tegak. Klenteng Ban Hin Kiong dan Klenteng Kwan Kong menjadi tempat menarik untuk dikunjungi. Apalagi ketika memasuki hari-hari raya umat. Pernak-pernik di klenteng menjadi daya tarik bagi wisatawan. Terdapat banyak spot foto instagramable di klenteng ini.",Setiap hari (08.00 - 18.00),Rp20.000,,,wisata kota
Pantai Paal,,"Pantai Paal merupakan pantai pasir putih dan laut biru yang jernih menjadi daya tarik tersendiri bagi pengunjung. Apalagi ditambah dengan pepohonan yang membuat udara di sekitar menjadi sejuk seperti berada di pegunungan. Di pantai ini, banyak nelayan-nelayan yang langsung menjual hasil tangkapannya. Jika tidak di pasar, biasanya nelayan akan menjual hasil tangkapan ke warung-warung yang ada di sekitar pantai. Warung-warung ini akan menyajikan makanan-makanan laut dari ikan bakar yang masih fresh. Kuliner ikan bakar yang masih segar ini menjadi daya tarik tersendiri bagi pengunjung.",Setiap hari (06.00 - 17.00),Rp5.000,,,wisata air
Bukit Doa Mahawu,,"Bukit Doa Mahawu merupakan wisata religi di dekat kota Manado. Objek wisata alam yang juga menjadi tempat wisata religi ini terkenal di Sulawesi Utara. Bukit ini memang berada tepat di bawah kaki Gunung Mahawu dan terlihat begitu indah khas dengan suasana pegunungan. Tak hanya itu, wisatawan bisa memotret suasana sekitar tempat wisata yang diketahui banyak menjadikan pengunjung makin betah.",Setiap hari (24 jam),Rp10.000,,,pegunungan dan pedesaan
Pusentasi,,"Pusentasi atau Pusat Laut merupakan sebuah sumur berbentuk melingkar terdiri dari bebatuan yang letak persisnya hanya beberapa meter dari pantai yang airnya sangat jernih. Pada sisi lain terdapat tangga yang digunakan oleh para pengunjung untuk naik turun ke dalam sumur tersebut. Letak Pusat laut ini berada tak jauh dari Kota Palu, tepatnya di pesisir pantai Desa Towale, Kecamatan Banawa Tengah, Kabupaten Donggala, Sulawesi Tengah. Disekitar pusat laut tersedia fasilitas area parkir yang cukup luas, fasilitas kamar mandi, warung warung yang menjual makanan dan minuman ringan, gazebo, dan perahu yang dapat disewa.",Setiap hari (24 jam),Rp10.000,,,wisata air
Jembatan Lalove,,"Jembatan V atau lebih dikenal dengan nama jembatan lalove kini menjadi ikon baru Kota Palu semenjak diresmikan oleh Walikota Palu. Keunikan dari jembatan ini adalah berdirinya dua tiang duplikat seruling berwana kuning atau Warga Palu menyebutnya Lalove, merupakan alat musik tiup tradisional suku kaili yang mendiami lembah Palu, Sulawesi Tengah.",Setiap hari (07.00 - 17.00),Rp5.000,,,wisata kota
Museum Negeri Propinsi Sulawesi Tengah,,"Museum Sulawesi Tengah terletak di Jalan Kemiri No. 23, Kelurahan Kamonji, Kecamatan Palu Barat, Kota Palu, Provinsi Sulawesi Tengah, Indonesia. Museum Sulawesi Tengah dibangun di atas tanah seluas 18.330 m2. Museum Sulawesi Tengah memiliki koleksi hingga tahun 2005 berjumlah 7398 dari berbagai objek-objek seperti geologi, biologi, etnografi, arkeologi, histori, numismatic, filologi, keramik seni rupa, dan teknologi modern. Museum Sulawesi Tengah dilengkapi dengan fasilitas dan sarana seperti ruang pameran tetap, ruang pameran temporer, ruang auditorium, ruang administrasi, ruang penyimpanan koleksi dan toilet",Selasa - Minggu (08.00 - 15.00),Rp 3.000 - Rp 10.000,,,museum
Sou Raja,,"Sou Raja merupakan bangunan sisa dari Kerajaan Palu, yang dulunya memerintah kota tersebut. kepemilikannya selalu berganti, sehingga kepemilikannya diberlakukan secara turun temurun. Tempat wisata ini berupaa sebuah rumah tradisional yang terkenal dan dibuka untuk dikunjungi masyarakat, baik lokal maupun luar negeri.",Setiap hari (06.00 - 18.00),Rp5.000,,,museum
Monumen Nosarara Nosabatutu,,Monumen Nosarara Nosabatutu merupakan bangunan berlantai tiga yang terletak di bagian depan kompleks wisata seluas 800 meter persegi ini menarik dikunjungi. Monumen Nosarara Nosabatutu merupakan bangunan berlantai tiga yang megah dan terletak di bagian depan kompleks wisata seluas 800 meter persegi ini. Di bagian atas bangunan berdiri kokoh Tugu Perdamaian sebagai simbol semangat persaudaraan dan persatuan”Nosarara Nosabatutu” sendiri berasal dari bahasa Kaili.,Setiap hari (08.00 - 22.00),Gratis,,,wisata kota
Taman Nasional Lore Lindu,,"Taman Nasional Lore Lindu (TNLL) merupakan salah satu taman nasional di Indonesia yang terletak di provinsi Sulawesi Tengah dan salah satu lokasi perlindungan hayati Sulawesi. aman Nasional Lore Lindu memiliki fauna dan flora endemik Sulawesi serta panorama alam yang menarik karena terletak di garis Wallace yang merupakan wilayah peralihan antara zona Asia dan Australia. Taman nasional ini juga merupakan habitat mamalia asli terbesar di Sulawesi. Anoa, babirusa, rusa, binatang hantu (tangkasi), kera tonkea, kuskus marsupial dan binatang pemakan daging terbesar di Sulawesi, musang Sulawesi hidup di taman ini. Taman Nasional Lore Lindu juga memiliki paling sedikit 5 jenis bajing dan 31 dari 38 jenis tikusnya, termasuk jenis endemik.",Setiap hari (24 jam),Gratis,,,pegunungan dan pedesaan
Pantai Talise,,"Pantai Talise merupakan tempat wisata utama di Kota Palu setelah Istana Pusat Sulawesi. Pantai ini membentang di Kota Palu hingga Kabupaten Donggala. Di pantai ini terdapat hamparan pasir putih dengan ombak yang cukup tenang dan perbukitan yang begitu mempesona sehingga pengunjung dimanjakan dengan keindahan panoramanya. Selain memiliki panorama alam yang sangat indah, pantai ini juga sangat cocok di pergunakan untuk sarana olahraga, misalnya olahraga renang, menyelam, memancing, sky air, selancar angin,menikmati sunset di penghujung hari dan masih banyak lagi.",Setiap hari (24 jam),Rp5.000,,,wisata air
"Pantai Tanjung Karang, Donggala",,"Pantai Tanjung Karang adalah objek wisata yang terletak di desa Labuan Bajo, Kabupaten Donggala, Sulawesi Tengah . Tanjung Karang adalah pantai berpasir putih dengan kekayaan hayati biota bawah laut.Kilauan cahaya emas memantul dari tepi pantai berpasir, yang banyak dilintasi perahu nelayan. Pantai yang terletak sekitar 35 km dari pusat Kota Palu ini menjadi pusat dicanangkannya gerakan Sadar Wisata dari Kementerian Pariwisata dan Ekonomi Kreatif. Potensi wisata di pantai ini mulai dikembangkan dengan beberapa bangunan rumah panggung yang difungsikan sebagai penginapan. Rumah berukuran lebih kurang 5 x 5 meter hanya berjarak sekitar 10 meter dari bibir pantai. Terdapat pula sebuah memiliki resort yang telah dilengkapi dengan kamar tidur lengkap, cafe, alat selam permukaan (snorkling) ataupun diving bahkan tim yang akan mengantarkan anda ke titik diving terbaik di Pantai ini. ",Setiap hari (24 jam),Rp2.500,,,wisata air
Danau Poso,,"Danau Poso (bahasa Inggris: Poso Lake), merupakan sebuah danau yang terletak di Kabupaten Poso, Provinsi Sulawesi Tengah, Indonesia; dan merupakan danau terdalam ketiga di Indonesia. Danau ini memiliki panjang 32 km dan lebar 16 km.  Danau ini merupakan habitat dari sejumlah ikan, termasuk belut Anguilla marmorata yang bermigrasi antara danau dan laut, dan 11 spesies ikan endemik yang hanya terdapat di danau ini. Di sini juga banyak terdapat siput air tawar endemik Tylomelania, dan juga beberapa udang endemik Caridina dan kepiting Parathelphusidae. ",Setiap hari (24 jam),Rp10.000,,,wisata air
Gunung Matantimali,,"Gunung Matantimali merupakan salah satu tempat wisata alam terbaik yang terletak di sekitar Desa Dayu, Kabupaten Sigi, Sulawesi Tengah. Wisata ini juga menjadi lokasi paralayang terbaik satu Asia dan seringkali digunakan untuk berkemah bagi masyarakat sekitar ataupun wisatawan.",Setiap hari (24 jam),Rp10.000,,,pegunungan dan pedesaan
Kepulauan Togean,,"Kepulauan Togean merupakan kepulauan yang terletak di Teluk Tomini, Sulawesi Tengah Indonesia. Secara administrasi, wilayah ini berada di Kabupaten Tojo Una-una, Kepulauan Togean tersebar sepanjang kurang lebih 90 Kilometer. Kepulauan Togean merupakan hamparan pulau-pulau yang terdiri 6 pulau besar dan sekitar 60 pulau yang lebih kecil di sekitar Teluk Tomini, Sulawesi. Kepulauan ini dikenal kaya akan terumbu karang dan berbagai biota laut yang langka dan dilindungi. Dibentuk oleh aktivitas vulkanis, pulau ini ditutupi oleh tumbuh-tumbuhan yang subur dan rimbun, serta dikelilingi oleh formasi bukit karang. ",Setiap hari (24 jam),Rp150.000,,,wisata air
Pulau Pasoso,,Pulau Pasoso juga dikenal Pulau Penyu terutama Penyu Hijau. Populasi Penyu Hijau sangat tinggi di pulau ini. Antara bulan September dan Oktober penyu-penyu itu bertelur di pesisir Pulau Pasoso. Bila bermalam di pulau ini dapat menyaksikan matahari terbit dan terbenam.,Setiap hari (24 jam),Gratis,,,wisata air
