Destinasi,Detail,Preferensi 2
Cagar Alam Jantho,"Cagar alam jantho bisa anda masukan dalam daftar tempat wisata di Aceh yang menarik untuk dikunjungi. Cagar alam ini sendiri lokasinya berjarak sekitar 50 km dari pusat kota Banda Aceh. Lokasi tepatnya ada di Kota Jantho, Aceh Besar, Aceh. Di cagar alam ini terdapat berbagai Flora dan Fauna hidup dalam cagar alam ini. Waktu kunjungan terbaik pada bulan April s/d Agustus (Musim Kemarau) untuk menikmati pemandangan / panorama yang indah. Berbagai flora dan fauna mulai dari Pinus, Mampre, Jambu air, Gleum, Bremen, Sampang, Ara, Damar, Medang, Kayu hitam, Beringin, Meranti, Kandis, Rambutan hutan, Tampu, Ketapang, Medang ara, Lukup, Tampang, Lawang, Semiran, Anang, Jenarai, Kerakau, Rengen, Merbau. Sementara keanekaragaman fauna yang bisa dijumpai seperti siamang, Owa, Macan dahan, Kucing Hutan, Rusa, Kijang, Kancil, Napu, Gajah, Kambing Hutan, Beruang, Trenggiling, Kukang, Kuao.


",wisata kota
Taman Wisata Putroe Phang,"
Taman Putroe Phang lahir dari kecintaan Sultan Iskandar Muda kepada istrinya Putri Kamaliah. Seorang perempuan cantik dan sopan dari Kerajaan Pahang, Malaysia. Masyarakat Aceh menyebutnya Putroe Phang. Sang Permaisuri selalu merindukan kampung halamannya, Negeri Pahang. Sultan lantas membangun Taman Sari. Formasinya menyerupai bukit-bukit di Pahang. Ketika tidak bersama Sultan, Putroe Phang membunuh sepi di taman ini. Di taman ini pula memiliki Pinto Khop, gerbang yang menghubungkan taman dengan istana. Kini Taman Putroe Phang menjadi arena rekreasi dan venue penyelenggaraan event-event menarik di Kota Banda Aceh.",wisata kota
Cot Seulawah Agam,"Gunung Seulawah Agam adalah sebuah gunung berapi yang terletak di Kecamatan Seulimeum dan Kecamatan Lembah Seulawah, Kabupaten Aceh Besar, Provinsi Aceh. Selain dikenal sebagai Seulawah Agam, gunung yang memiliki tinggi 1726 mdpl ini memiliki nama-nama lain seperti, Solawa Agam, Solawaik Agam, Selawadjanten, dan Goldberg. Kawah Seulawah Agam dikenal sebagai Kawah Heutsz dan ada juga yang menyebut kawahnya sebagai Tanah Simpago Gunung Seulawah Agam terbentuk akibat pertemuan lempeng Indo-Australia yang bergerak relatif ke utara, menujam di bawah Lempeng Kerak Benua Eurasia. Akibat penuzaman itu maka terjadi proses peleburan (melting) kerak Samudera Indo-Autralia menjadi magma, yang kemudian menerobos kepermukaan melewati zona lemah dan kemudian membentuk Gunung Seulawah Agam.",pegunungan dan pedesaan
Burni Telong,"Gunung Burni Telong adalah salah satu gunung yang ada di Aceh. Ketinggian puncaknya adalah 2624 meter di atas permukaan laut. Pendakian ke gunung ini dimulai dari Kabupaten Bener Meriah. Nama lain gunung ini adalah Gunung Tutong, Gunung Boer Moetelong, atau Gunung Telong. dalam pembagian administratif, letaknya di Kabupaten Aceh Tengah. Gunung Burni Telong termasuk jenis gunung berapi kerucut. Gunung Burni Telong pernah meletus sebanyak 5 kali di tahun 1837, 1839, 1856, 1919, dan 1924 Masehi.",pegunungan dan pedesaan
Museum Adityawarman,"Museum Adityawarman adalah museum budaya Sumatra Barat yang terletak di Kota Padang. Museum ini diresmikan pada 16 Maret 1977 mengambil nama besar salah seorang raja Malayapura pada abad ke-14, Adityawarman yang sezaman dengan Kerajaan Majapahit. Museum ini memiliki julukan Taman Mini ala Sumatra Barat.",situs bersejarah dan religi
Puncak Gagoan,"Eksotisme tempat wisata yang satu ini sudah bisa kamu rasakan sejak masih berada di bawah bukit. Angin kencang yang sejuk akan senantiasa menemai selama perjalanan menuju puncak. Kehadiran dua bukit yang mengapit Gagoan juga menjadi paket tambahan yang bisa kamu nikmati di sini. Bukit yang pertama didominasi oleh padang rumput dengan sedikit pohon, sedangkan bukit lain penuh dengan pepohonan yang beragam. Terdapat pula sebuah sungai dengan airnya yang masih jernih sebagai sumber air untuk penduduk sekitar.",pegunungan dan pedesaan
Wisata Laiang Park Kota Solok,"Salah satu keunikan yang bisa kita lihat secara langsung adalah rumah pohon. Dimana, ada dua buah rumah pohon yang mempunyai kapasitas maksimal 5 orang dewasa atau 10 anak-anak. Di bangun di atas pepohonan yang rantingnya sangat kuat. Selain dua rumah pohon ini kita juga disuguhkan dengan beberapa gazebo yang juga dibangun di atas pohon. Ada pula jembatan kayu yang membelah sungai yang menarik untuk diambil menjadi sebuah foto serta beberapa spot lainnya yang tersebar disini.Tidak hanya sampai disitu saja. Rumah Pohon Laing Park memiliki kualitas udara sangat baik, bebas dari polusi. Luas dari objek wisata ini sendirian kurang lebih 8 hektar. Dengan pesona flora dan fauna yang menambah keasrian dari objek wisata yang masih tergolong baru di Kabupaten Solok.",wisata kota
Danau Singkarak,"Danau Singkarak merupakan salah satu hasil dari proses tektonik yang dipengaruhi oleh Sesar Sumatra. Danau ini adalah bagian dari Cekungan Singkarak-Solok yang termasuk di antara segmen dari Sesar Sumatra. Cekungan dari danau ini terbentuk dari sebuah amblesan yang disebabkan oleh aktivitas pergerakan Sesar Sumatra. Cekungan besar ini terbendung oleh material vulkanik dari letusan gunung api sekitarnya. Akibat pembendungan material vulkanik ini terbentuklah Danau singkarak di satu bagian Cekungan Singkarak-Solok. Berbeda dengan Danau Maninjau yang terbentuk akibat letusan gunung api, Danau Singkarak terbentuk utamanya karena proses tektonik.",wisata air
Puncak Gobah,"Puncak Gobah Salah satu objek wisata di Kabupaten Solok yang menyajikan pemandangan Danau Singkarak dari ketinggian adalah ncak Gobah. Destinasi wisata ini bisa dibilang masih baru, namun cukup populer terutama di kalangan wisatawan. Puncak Gobah terletak di Nagari Aripan, Kecamatan X Koto Singkarak, Kabupaten Solok, Sumatera Barat. Jika dari Kota Solok menuju lokasi jarak yang ditempuh kurang lebih sekitar 20 km",pegunungan dan pedesaan
Kapalo Banda Taram,"Kapalo Banda merupakan wisata alam yg sangat alami dan sejuk dgn pemandangan hijau yg memanjakan mata dgn area perbukitan hijau yg alami.Tersedia berbagai wahana sprti rakit bambu,hutan pinus wakanda, tapian puti,ayunan Sejuta umat,dan bnyak lagi spot poto yg intagramable lainnya.juga tersedia wisata minat khusus sprti tracking ke air terjun sarasah 7 tingkek dan tracking ke kawasan compo,tracking ke puncak wakanda serta kemping area yg luas dan nyaman",wisata air
Masjid Agung Al-Muhsinin,"Masjid Agung Al-Muhsinin adalah masjid terbesar di Kota Solok, terletak menghadap Jalan Datuak Perpatih Nan Sabatang, Kelurahan Aro IV Korong, Lubuk Sikarah. Masjid ini menjadi tuan rumah kegiatan keagamaan skala regional seperti tabligh akbar dan pertemuan jemaah, khususnya di Kota Solok. Masjid ini pertama berdiri sejak 1984 dan saat itu belum menyandang status sebagai masjid agung. Namun, bangunannya rusak berat setelah rangkaian gempa bumi pada Maret 2007. Pembangunan kembali dimulai pada 20 Agunstus 2009. Bangunan utama berupa ruang salat terdiri dari dua lantai dengan denah dasar ruang lepas 35 × 35 meter.",situs bersejarah dan religi
Taman Jam Gadang,"Jam Gadang adalah menara jam yang menjadi penanda atau ikon Kota Bukittinggi, Sumatra Barat, Indonesia. Menara jam ini memiliki jam dengan ukuran besar di empat sisinya sehingga dinamakan Jam Gadang, sebutan bahasa Minangkabau yang berarti ""jam besar"". Jam Gadang menjadi lokasi peristiwa penting pada masa sekitar kemerdekaan Indonesia, seperti pengibaran bendera merah putih (1945), Demonstrasi Nasi Bungkus (1950), dan pembunuhan 187 penduduk setempat oleh militer Indonesia atas tuduhan terlibat Pemerintahan Revolusioner Republik Indonesia (1959).",wisata kota
Benteng Fort de Kock,"Fort de Kock adalah benteng peninggalan Belanda yang berdiri di Kota Bukittinggi, Sumatra Barat, Indonesia. Benteng ini didirikan oleh Kapten Bouer pada tahun 1825 pada masa Hendrik Merkus de Kock sewaktu menjadi komandan Der Troepen dan Wakil Gubernur Jenderal Hindia Belanda, karena itulah benteng ini terkenal dengan nama Benteng Fort De Kock. Benteng yang terletak di atas Bukit Jirek ini digunakan oleh Tentara Belanda sebagai kubu pertahanan dari gempuran rakyat Minangkabau terutama sejak meletusnya Perang Paderi pada tahun 1821-1837. Di sekitar benteng masih terdapat meriam-meriam kuno periode abad ke 19. Pada tahun-tahun selanjutnya, di sekitar benteng ini tumbuh sebuah kota yang juga bernama Fort de Kock, kini Bukittinggi",situs bersejarah dan religi
Jembatan Limpapeh,"Jembatan Limpapeh dibangun sekitar tahun 1995 dengan terlihat dominan warna kuning dan merah. Jembatan yang terbuat dari baja ini menghubungkan Taman Margasatwa dan Budaya Kinantan dengan Benteng Fort de Kock. Sekilas, Jembatan Limpapeh ini terlihat tidak begitu menarik jika dilihat dari bawah jembatan, namun jika saat mencoba untuk menyeberang di atas jembatan, Saat melewatinya terasa getaran dan goyangan yang justru memancing adrenalin. Dari jembatan ini kita dapat melihat pemandangan indah Kota Bukittinggi yang dikelilingi oleh perbukitan dan Gunung Marapi.",wisata kota
Ngarai Sianok,"Ngarai Sianok merupakan suatu wujud visual yang paling jelas dari aktivitas pergerakan lempeng bumi “tektonik” di Pulau Sumatera ini. Proses terbentuk patahan tersebut menghasilkan sebuah kawasan yang subur dengan panorama yang indah. Kawasan ngarai sianok ini memiliki sebutan lain yaitu, Lembah Pendiam, karena suasananya yang tenang dan damai. Didukung dengan udaranya yang sejuk dan angin yang berhembus semilir, diiringi latar suara kicauan burung kecil kecil dan gemericik air sungai, ngarai ini cocok sebagai tempat melepaskan beban pikiran dari rutinitas sehari-hari.",pegunungan dan pedesaan
Janjang Ampek Puluah,"Janjang Ampek Puluah berasal dari kata bahasa minang yaitu Janjang (tangga) ampek (empat) puluah (puluh), Nama tersebut berasal dari jumlah anak tangga sebanyak empat puluh. Janjang ampek puluah cukup terjal dengan tinggi anak tangga 25 cm. Lantai tangga berwarna merah tua. ",wisata kota
Janjang Saribu,"Pengunjung biasanya ingin merasakan sebuah sensasi saat berkunjung ke Tembok Besar Cina, namun ini merupakan tembok cina versi kota Bukittinggi. Bila dilihat, tentu saja ada banyak susunan dan deretan anak tangga yang cukup panjang dan banyak pada kawasan atau daerah Koto Gadang. Panjang dari anak tangga tersebut ini membentang ke kawasan bawah Ngarai Sianok. Jalan anak tangga tersebut dalam bahasa daerah ini diberi nama Janjang Saribu, atau yang berarti tangga seribu.",pegunungan dan pedesaan
Danau Toba,"Danau Toba adalah lokasi letusan gunung berapi super masif berkekuatan VEI 8 sekitar 69.000 sampai 77.000 tahun yang lalu yang memicu perubahan iklim global. Metode penanggalan terkini menetapkan bahwa 74.000 tahun yang lalu lebih akurat. Letusan ini merupakan letusan eksplosif terbesar di Bumi dalam kurun 25 juta tahun terakhir. Menurut teori bencana Toba, letusan ini berdampak besar bagi populasi manusia di seluruh dunia; dampak letusan menewaskan sebagian besar manusia yang hidup waktu itu dan diyakini menyebabkan penyusutan populasi di Afrika timur tengah dan India sehingga memengaruhi genetika populasi manusia di seluruh dunia sampai sekarang",wisata air
Pulau Samosir,"Pulau Samosir adalah sebuah pulau vulkanik di tengah Danau Toba di provinsi Sumatra Utara. Sebuah pulau dalam pulau dengan ketinggian 1.000 meter di atas permukaan laut menjadikan pulau ini menjadi sebuah pulau yang menarik perhatian para turis. Tuktuk adalah pusat konsentrasi turis di Pulau Samosir. Dari Parapat, Tuktuk dapat dihubungkan dengan feri penyeberangan. Selain perhubungan air, Pulau Samosir juga dapat dicapai lewat jalan darat melalui Pangururan yang menjadi tempat di mana Pulau Samosir dan Pulau Sumatra terhubung.",wisata air
Cagar Alam Sibolangit,"Cagar Alam Sibolangit memiliki luas sekitar 85 hektar di ketinggian 500 mdpl ini memang menawarkan keindahan view alam yang tidak kalah dari tempat lain. Pepohonan di sana tumbuh sangat subur dan juga tinggi-tinggi membuat udara yang tercipta terasa sejuk, segar, berbeda dengan udara perkotaan yang penuh polusi. Selain dijadikan tempat pariwisata, Cagar Alam Sibolangit juga difungsikan sebagai kawasan konservasi untuk perlindungan sistem penyangga kehidupan, mengatur tata air, iklim makro dan menjaga keseimbangan lingkungan.",pegunungan dan pedesaan
Danau Lau Kawar,"Danau ini memiliki luas lebih kurang 200 Ha diapit oleh alam pegunungan yang ditumbuhi kayu–kayuan hutan tropis dan dipinggir danau terbentang lahan seluas 3 Ha sebagai lokasi tempat berkemah. Bagi wisatawan yang berjiwa petualangan, dari obyek ini dapat melakukan kegiatan panjat tebing dan sekaligus pendakian ke puncak Gunung Sinabung melewati hutan belantara. Jarak dari Kota Berastagi ke obyek wisata ini 27 Km dan dapat menggunakan kenderaan roda empat melewati beberapa desa dan lahan pertanian ",wisata air
Air Terjun Dua Warna,"Air Terjun Dua Warna terletak di Kecamatan Sibolangit, Sumatera Utara. Airnya berasal dari Gunung Sibayak. Ketinggian Air Terjun Dua Warna berada pada 1270 meter dpl. Kenapa dikatakan Air Terjun Dua Warna? Jawabannya adalah karena air terjun indah ini memang memiliki dua gradasi warna yang berbeda. Air yang tertampung dari pancurannya di bawah berwarna putih keabu-abuan sementara air terjun yang tumpah riuh dari atas berwarna biru muda. Anda akan semakin terkagum-kagum sebab di lokasi Air terjun Dua Warna, tidak hanya terdapat satu air terjun saja, melainkan tiga.",wisata air
The Le Hu Garden,"The Le Hu Garden merupakan taman wisata keluarga yang menyajikan keindahan taman bunga. Selain itu, terdapat danau buatan yang menambah pesona kecantikan objek wisata ini. Tempat ini merupakan halaman rumah yang diubah menjadi tempat wisata oleh pemiliknya. Pembangunan danau dan berbagai fasilitas lainnya membuat taman ini menjadi salah satu destinasi wisata incaran wisatawan. Lokasinya yang berada di pedesaan juga membuat suasana taman begitu asri dan nyaman.",wisata kota
Rahmat International Wildlife Museum & Gallery,"Rahmat International Wildlife Museum and Gallery adalah museum yang diilhami oleh Dr. H Rahmatsyah yang memiliki kecintaan pada alam dan niatnya mencegah kepunahan hewan langka. Museum ini terletak di Kelurahan Petisah Hulu, Medan Baru, Kota Medan. Konsep pendiriannya sama dengan Safari Club International yaitu konservasi dengan pemanfaatan. Museum ini diresmikan pada tanggal 14 Mei 1999 oleh Menteri Pendidikan dan Kebudayaan, Juwono Sudarsono.",situs bersejarah dan religi
Masjid Raya Al-Mashun Medan,"Masjid Raya Medan atau Masjid Raya Al-Mashun erupakan sebuah masjid yang terletak di Kota Medan, Indonesia. Masjid ini dibangun pada tahun 1906 dan selesai pada tahun 1909. Pada awal pendiriannya, masjid ini menyatu dengan kompleks istana. Gaya arsitekturnya khas Timur Tengah, India dan Spanyol. Masjid ini berbentuk segi delapan dan memiliki sayap pada bagian selatan, timur, utara, dan barat. Masjid Raya Medan ini merupakan saksi sejarah peradaban Melayu Deli, yang memiliki keterkaitan erat dengan Kesultanan Deli.",situs bersejarah dan religi
Vihara Gunung Timur,"Vihara Gunung Timur adalah kelenteng Tionghoa (Taoisme) yang terbesar di Kota Medan dan mungkin juga di pulau Sumatra. Kelenteng ini dibangun pada tahun 1930-an. Vihara Gunung Timur ini terletak di Jl. Hang Tuah No.16, Madras Hulu, Medan Polonia, Medan, sekitar 500 meter dari Kuil Shri Mariamman dan berada di sisi Sungai Deli.",situs bersejarah dan religi
Kebun Binatang Simalingkar Medan,"Kebun Binatang Medan atau disebut juga populer dengan Taman Margasatwa ini merupakan sebuah objek wisata keluarga yang memiliki luas mencapai 30 hektar. Lokasinya yang berada dipinggir jalan serta banyaknya pepohonan rindang di dalam area Taman Margasatwa menjadikannya salah satu lokasi wisata favorit warga Medan yang sudah berkeluarga sekalian membawa serta buah hatinya.

",wisata kota
Penangkaran Buaya Asam Kumbang,"Wisata yang telah berdiri sudah hampir 60 tahun silam ini masih terlihat sederhana dari segi desain lokasi wisata. Namun dibalik desain klasik lokasi, wisatawan bisa banyak belajar tentang siklus hidup dan mendalami reptil buaya. Wisata penangkaran buaya di Medan di dirikan oleh bapak Lo Tham Muk, hingga sekarang masih banyak pengunjubg datang berwisata dari berbagai daerah, lebih-lebih ketika akhir pekan dan musim libur datang.",wisata kota
Istana Maimun,"Istana Maimun adalah istana Kesultanan Deli yang merupakan salah satu ikon Kota Medan, Sumatra Utara. Istana ini terletak di Jalan Brigadir Jenderal Katamso, Aur, Medan Maimun. Istana Maimun didesain oleh arsitek Capt. Theodoor van Erp, seorang tentara Kerajaan Belanda yang dibangun atas perintah Sultan Deli, Sultan Ma'moen Al Rasyid.[3] Pembangunan istana ini dimulai dari 26 Agustus 1888 dan selesai pada 18 Mei 1891. Istana Maimun memiliki luas sebesar 2.772 m2 dan 30 ruangan.[1] Istana Maimun terdiri dari 2 lantai dan memiliki 3 bagian yaitu bangunan induk, bangunan sayap kiri dan bangunan sayap kanan. Bangunan istana ini menghadap ke Timur dan pada sisi depan terdapat bangunan Masjid Al-Mashun atau yang lebih dikenal dengan sebutan Masjid Raya Medan.",situs bersejarah dan religi
